Modulation:;Orders:;Amplitudes:;Input size:;SNR:;BER [%]:
ASK;4;1.0;12000;0.1;40.14
PSK;4;1.0;12000;0.1;37.63
APSK;(4, 4);(1.0, 2.0);12000;0.1;40.56
ASK;4;1.0;12000;0.2;35.35
PSK;4;1.0;12000;0.2;32.77
APSK;(4, 4);(1.0, 2.0);12000;0.2;35.4
ASK;4;1.0;12000;0.3;31.52
PSK;4;1.0;12000;0.3;29.26
APSK;(4, 4);(1.0, 2.0);12000;0.3;31.24
ASK;4;1.0;12000;0.4;28.95
PSK;4;1.0;12000;0.4;26.34
APSK;(4, 4);(1.0, 2.0);12000;0.4;27.56
ASK;4;1.0;12000;0.5;26.28
PSK;4;1.0;12000;0.5;23.97
APSK;(4, 4);(1.0, 2.0);12000;0.5;24.92
ASK;4;1.0;12000;0.6;24.49
PSK;4;1.0;12000;0.6;21.97
APSK;(4, 4);(1.0, 2.0);12000;0.6;22.72
ASK;4;1.0;12000;0.7;22.72
PSK;4;1.0;12000;0.7;20.12
APSK;(4, 4);(1.0, 2.0);12000;0.7;20.92
ASK;4;1.0;12000;0.8;21.26
PSK;4;1.0;12000;0.8;18.57
APSK;(4, 4);(1.0, 2.0);12000;0.8;19.18
ASK;4;1.0;12000;0.9;19.99
PSK;4;1.0;12000;0.9;17.12
APSK;(4, 4);(1.0, 2.0);12000;0.9;17.7
ASK;4;1.0;12000;1.0;18.79
PSK;4;1.0;12000;1.0;15.9
APSK;(4, 4);(1.0, 2.0);12000;1.0;16.38
ASK;4;1.0;12000;1.1;17.82
PSK;4;1.0;12000;1.1;14.71
APSK;(4, 4);(1.0, 2.0);12000;1.1;15.41
ASK;4;1.0;12000;1.2;16.82
PSK;4;1.0;12000;1.2;13.67
APSK;(4, 4);(1.0, 2.0);12000;1.2;14.46
ASK;4;1.0;12000;1.3;16.13
PSK;4;1.0;12000;1.3;12.69
APSK;(4, 4);(1.0, 2.0);12000;1.3;13.65
ASK;4;1.0;12000;1.4;15.47
PSK;4;1.0;12000;1.4;11.91
APSK;(4, 4);(1.0, 2.0);12000;1.4;12.48
ASK;4;1.0;12000;1.5;14.7
PSK;4;1.0;12000;1.5;11.05
APSK;(4, 4);(1.0, 2.0);12000;1.5;12.01
ASK;4;1.0;12000;1.6;14.16
PSK;4;1.0;12000;1.6;10.27
APSK;(4, 4);(1.0, 2.0);12000;1.6;11.28
ASK;4;1.0;12000;1.7;13.53
PSK;4;1.0;12000;1.7;9.59
APSK;(4, 4);(1.0, 2.0);12000;1.7;10.73
ASK;4;1.0;12000;1.8;12.87
PSK;4;1.0;12000;1.8;8.99
APSK;(4, 4);(1.0, 2.0);12000;1.8;10.2
ASK;4;1.0;12000;1.9;12.46
PSK;4;1.0;12000;1.9;8.41
APSK;(4, 4);(1.0, 2.0);12000;1.9;9.74
ASK;4;1.0;12000;2.0;11.97
PSK;4;1.0;12000;2.0;7.86
APSK;(4, 4);(1.0, 2.0);12000;2.0;9.21
ASK;8;1.0;12000;0.1;35.67
PSK;8;1.0;12000;0.1;41.74
APSK;(8, 8);(1.0, 2.0);12000;0.1;43.86
ASK;8;1.0;12000;0.2;29.91
PSK;8;1.0;12000;0.2;38.04
APSK;(8, 8);(1.0, 2.0);12000;0.2;40.15
ASK;8;1.0;12000;0.3;26.34
PSK;8;1.0;12000;0.3;35.28
APSK;(8, 8);(1.0, 2.0);12000;0.3;37.41
ASK;8;1.0;12000;0.4;23.64
PSK;8;1.0;12000;0.4;33.04
APSK;(8, 8);(1.0, 2.0);12000;0.4;34.9
ASK;8;1.0;12000;0.5;21.34
PSK;8;1.0;12000;0.5;31.11
APSK;(8, 8);(1.0, 2.0);12000;0.5;33.0
